rec,date,month,year,kwh_on,kwh_off,kwh_hol,tou_on,tou_off,tod_par,tod_on,tod_off,kvar_peak,run_hour,,,,,,,,,,,,
500,1,4,2022,685.954,106.228,0.001,94.277,24.308,94.277,35.006,24.308,23.373,24.000,,,,,,,,,,,,
499,2,4,2022,0.000,0.000,277.273,0.000,27.346,27.346,17.190,10.594,5.152,24.000,,,,,,,,,,,,
498,3,4,2022,0.000,0.001,222.597,0.000,17.613,16.039,10.334,17.613,3.173,24.000,,,,,,,,,,,,
497,4,4,2022,501.855,93.992,0.000,62.884,15.081,62.884,39.267,18.676,15.771,24.000,,,,,,,,,,,,
496,5,4,2022,494.951,99.235,0.001,69.618,14.971,69.618,39.481,15.299,15.222,24.000,,,,,,,,,,,,
495,6,4,2022,0.000,0.002,373.005,0.000,33.739,33.739,26.514,22.600,7.823,24.000,,,,,,,,,,,,
494,7,4,2022,814.074,127.142,0.000,114.169,26.098,114.169,47.737,26.098,32.578,24.000,,,,,,,,,,,,
493,8,4,2022,719.017,117.745,0.003,87.754,25.105,87.754,49.254,25.105,26.722,24.000,,,,,,,,,,,,
492,9,4,2022,0.000,0.000,364.619,0.000,34.690,34.690,23.750,21.383,5.212,24.000,,,,,,,,,,,,
491,10,4,2022,0.000,0.002,322.568,0.000,31.618,31.618,24.075,15.677,8.355,24.000,,,,,,,,,,,,
490,11,4,2022,730.455,164.196,0.000,94.432,18.635,94.432,51.692,18.635,18.852,24.000,,,,,,,,,,,,
489,12,4,2022,456.940,102.275,0.003,61.927,14.900,61.927,25.436,14.439,19.653,24.000,,,,,,,,,,,,
488,13,4,2022,0.000,0.000,222.078,0.000,25.621,25.621,17.277,13.813,3.379,24.000,,,,,,,,,,,,
487,14,4,2022,0.000,0.000,241.266,0.000,24.376,24.376,10.388,8.377,4.747,24.000,,,,,,,,,,,,
486,15,4,2022,0.000,0.000,235.226,0.000,25.897,25.162,25.897,8.039,4.312,24.000,,,,,,,,,,,,
485,16,4,2022,0.000,0.000,339.792,0.000,37.585,37.585,26.993,21.921,3.985,24.000,,,,,,,,,,,,
484,17,4,2022,0.000,0.001,360.855,0.000,36.318,36.318,23.851,14.359,9.504,24.000,,,,,,,,,,,,
483,18,4,2022,731.284,89.766,0.000,85.719,16.991,85.719,42.605,19.513,21.956,24.000,,,,,,,,,,,,
482,19,4,2022,757.390,97.047,0.000,96.312,17.972,96.312,45.121,26.972,18.992,24.000,,,,,,,,,,,,
481,20,4,2022,824.375,97.482,0.000,98.519,23.944,98.519,48.616,32.388,25.970,24.000,,,,,,,,,,,,
480,21,4,2022,761.711,124.598,0.000,91.696,23.476,91.696,52.340,24.987,19.072,24.000,,,,,,,,,,,,
