rec,date,month,year,kwh_on,kwh_off,kwh_hol,tou_on,tou_off,tod_par,tod_on,tod_off,kvar_peak,run_hour,,,,,,,,,,,,
6,1,1,2025,0.000,0.002,329.941,0.000,19.052,19.052,14.845,16.578,2.850,24.000,,,,,,,,,,,,
5,2,1,2025,800.865,230.026,0.000,105.049,88.648,105.049,29.839,40.229,25.604,24.000,,,,,,,,,,,,
4,3,1,2025,898.394,218.475,0.004,118.315,80.754,118.315,47.027,41.330,28.143,24.000,,,,,,,,,,,,
3,4,1,2025,0.000,0.000,441.677,0.000,37.501,37.501,20.141,14.363,5.719,24.000,,,,,,,,,,,,
2,5,1,2025,0.000,0.000,526.328,0.000,53.924,53.924,20.370,16.147,11.679,24.000,,,,,,,,,,,,
1,6,1,2025,1033.570,212.774,0.000,154.756,77.868,154.756,34.678,43.734,35.272,24.000,,,,,,,,,,,,
47,7,1,2025,1150.729,217.579,0.000,152.719,91.493,152.719,43.458,27.421,27.948,24.000,,,,,,,,,,,,
46,8,1,2025,890.821,229.387,0.000,113.898,82.501,113.898,41.878,40.502,25.712,24.000,,,,,,,,,,,,
45,9,1,2025,1149.463,246.788,0.000,165.437,106.048,165.437,43.809,42.658,36.061,24.000,,,,,,,,,,,,
44,10,1,2025,1059.769,227.517,0.001,144.174,108.750,144.174,51.584,39.170,30.377,24.000,,,,,,,,,,,,
43,11,1,2025,0.000,0.000,442.302,0.000,39.490,39.490,22.630,23.573,6.516,24.000,,,,,,,,,,,,
42,12,1,2025,0.000,0.002,489.534,0.000,54.074,54.074,22.762,22.599,6.650,24.000,,,,,,,,,,,,
41,13,1,2025,481.116,159.137,0.000,70.432,52.851,70.432,20.898,16.347,10.497,24.000,,,,,,,,,,,,
40,14,1,2025,580.344,169.514,0.000,86.219,51.847,86.219,26.200,20.988,13.710,24.000,,,,,,,,,,,,
39,15,1,2025,561.485,172.240,0.000,93.001,45.845,93.001,23.428,21.940,13.344,24.000,,,,,,,,,,,,
38,16,1,2025,736.911,183.745,0.000,100.632,61.026,100.632,31.528,27.045,14.031,24.000,,,,,,,,,,,,
37,17,1,2025,650.635,180.325,0.002,94.686,71.258,94.686,26.148,22.993,15.589,24.000,,,,,,,,,,,,
36,18,1,2025,0.000,0.000,481.910,0.000,40.367,40.367,26.654,22.264,6.108,24.000,,,,,,,,,,,,
35,19,1,2025,0.000,0.001,630.761,0.000,61.774,61.774,28.482,25.457,11.989,24.000,,,,,,,,,,,,
34,20,1,2025,1096.801,220.492,0.000,162.832,99.461,162.832,37.298,29.784,34.398,24.000,,,,,,,,,,,,
33,21,1,2025,1043.280,222.107,0.000,145.494,98.908,145.494,41.308,32.905,28.753,24.000,,,,,,,,,,,,
32,22,1,2025,848.621,208.197,0.000,116.410,90.864,116.410,38.538,29.399,24.733,24.000,,,,,,,,,,,,
31,23,1,2025,1046.168,255.387,0.000,138.233,98.493,138.233,48.699,45.037,32.050,24.000,,,,,,,,,,,,
30,24,1,2025,1155.563,236.982,0.003,161.308,111.401,161.308,43.407,36.735,42.126,24.000,,,,,,,,,,,,
29,25,1,2025,0.000,0.000,524.758,0.000,48.292,48.292,22.372,15.379,9.131,24.000,,,,,,,,,,,,
28,26,1,2025,0.000,0.003,683.284,0.000,77.524,77.524,20.094,14.135,14.348,24.000,,,,,,,,,,,,
27,27,1,2025,1136.486,227.617,0.000,163.297,100.047,163.297,45.694,41.964,35.952,24.000,,,,,,,,,,,,
26,28,1,2025,989.603,239.411,0.000,135.345,105.134,135.345,39.652,48.705,31.133,24.000,,,,,,,,,,,,
25,29,1,2025,836.448,202.028,0.000,105.639,71.127,105.639,44.027,30.558,17.559,24.000,,,,,,,,,,,,
24,30,1,2025,1196.895,215.718,0.000,162.756,97.868,162.756,59.250,31.755,37.949,24.000,,,,,,,,,,,,
23,31,1,2025,1018.202,222.776,0.002,134.691,74.200,134.691,44.134,38.931,30.727,24.000,,,,,,,,,,,,
22,1,2,2025,0.000,0.000,622.883,0.000,69.844,69.844,27.918,18.239,18.053,24.000,,,,,,,,,,,,
21,2,2,2025,0.000,0.002,682.729,0.000,87.830,87.830,24.640,17.852,23.746,24.000,,,,,,,,,,,,
20,3,2,2025,1416.230,242.772,0.000,202.769,107.950,202.769,59.268,42.010,50.293,24.000,,,,,,,,,,,,
19,4,2,2025,1398.122,290.898,0.000,182.994,133.312,182.994,66.416,44.980,39.183,24.000,,,,,,,,,,,,
18,5,2,2025,1302.578,277.480,0.000,162.368,124.830,162.368,71.404,33.783,38.890,24.000,,,,,,,,,,,,
17,6,2,2025,1490.469,339.262,0.000,199.930,145.409,199.930,78.020,59.010,46.218,24.000,,,,,,,,,,,,
16,7,2,2025,730.037,323.609,0.002,87.996,59.839,87.996,46.626,40.068,24.008,24.000,,,,,,,,,,,,
15,8,2,2025,0.000,0.000,677.270,0.000,74.698,74.698,28.806,14.342,16.318,24.000,,,,,,,,,,,,
14,9,2,2025,0.000,0.002,684.304,0.000,69.411,69.411,21.911,16.432,13.795,24.000,,,,,,,,,,,,
13,10,2,2025,1143.508,223.409,0.000,166.586,94.333,166.586,33.056,34.765,34.989,24.000,,,,,,,,,,,,
12,11,2,2025,1166.187,253.508,0.000,154.475,105.090,154.475,43.057,42.740,33.445,24.000,,,,,,,,,,,,
11,12,2,2025,346.561,167.634,0.000,44.649,23.384,44.649,29.615,17.700,6.126,24.000,,,,,,,,,,,,
10,13,2,2025,1531.460,282.321,0.000,209.063,156.309,209.063,70.673,40.594,53.897,24.000,,,,,,,,,,,,
