province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.8,25.7,21.2
11,สมุทรปราการ,33.8,27.0,22.0
13,ปทุมธานี,37.5,24.6,20.0
14,พระนครศรีอยุธยา,36.3,24.0,19.0
16,ลพบุรี,36.3,23.8,17.3
18,ชัยนาท,36.2,23.6,19.5
20,ชลบุรี,36.2,25.3,19.6
21,ระยอง,35.0,24.6,21.3
22,จันทบุรี,36.6,24.3,20.5
23,ตราด,34.7,25.0,22.0
24,ฉะเชิงเทรา,36.5,22.2,18.1
25,ปราจีนบุรี,36.0,24.3,18.9
27,สระแก้ว,35.6,23.6,19.6
30,นครราชสีมา,35.7,22.2,17.7
31,บุรีรัมย์,35.2,22.1,17.1
32,สุรินทร์,34.8,22.4,16.3
33,ศรีสะเกษ,35.0,22.4,19.1
34,อุบลราชธานี,35.4,21.9,17.9
36,ชัยภูมิ,34.7,22.9,19.3
40,ขอนแก่น,35.1,21.5,16.4
41,อุดรธานี,34.4,21.4,16.5
42,เลย,34.1,20.9,17.3
43,หนองคาย,34.0,22.5,17.6
44,มหาสารคาม,35.2,21.8,17.4
45,ร้อยเอ็ด,34.8,22.0,17.6
46,กาฬสินธุ์,34.5,21.5,16.4
47,สกลนคร,33.9,21.1,16.0
48,นครพนม,34.0,22.0,16.3
49,มุกดาหาร,34.2,21.7,16.7
50,เชียงใหม่,34.0,19.1,13.9
51,ลำพูน,34.4,21.2,17.5
52,ลำปาง,35.8,20.8,15.2
53,อุตรดิตถ์,36.3,23.2,20.3
54,แพร่,36.0,21.3,17.2
55,น่าน,35.4,19.6,13.5
56,พะเยา,33.4,20.0,14.2
57,เชียงราย,32.5,19.2,13.5
58,แม่ฮ่องสอน,36.0,20.8,16.0
60,นครสวรรค์,36.5,23.9,18.3
62,กำแพงเพชร,35.4,23.3,20.0
63,ตาก,35.5,20.8,14.0
64,สุโขทัย,35.4,23.5,20.1
65,พิษณุโลก,35.2,23.5,20.3
66,พิจิตร,36.0,23.9,20.5
67,เพชรบูรณ์,37.0,22.8,18.7
70,ราชบุรี,35.0,23.7,19.6
71,กาญจนบุรี,35.6,23.1,18.3
72,สุพรรณบุรี,35.5,24.2,18.6
73,นครปฐม,34.6,23.9,17.4
76,เพชรบุรี,34.4,25.4,20.8
77,ประจวบคีรีขันธ์,34.5,24.8,18.5
80,นครศรีธรรมราช,34.0,24.2,22.3
81,กระบี่,35.1,24.8,21.3
82,พังงา,34.5,24.3,21.5
83,ภูเก็ต,34.7,25.6,20.9
84,สุราษฎร์ธานี,34.3,24.9,22.1
85,ระนอง,33.5,24.6,22.5
86,ชุมพร,33.7,24.0,20.2
90,สงขลา,34.4,24.9,21.2
91,สตูล,34.3,25.1,23.0
92,ตรัง,33.8,24.6,23.1
93,พัทลุง,33.2,24.7,23.0
94,ปัตตานี,33.3,24.6,23.2
95,ยะลา,33.0,24.1,22.5
96,นราธิวาส,32.7,24.7,
